Acacia,Acacia,False,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE,FUERTEVENTURA"
Acer campestre,Arce común,False,False,False,TENERIFE
Acer pseudoplatanus,Falso plátano,False,False,False,GRAN CANARIA
Ailanthus altissima,"Árbol del cielo, ailanto",False,True,True,"GRAN CANARIA,TENERIFE,LA PALMA,FUERTEVENTURA"
Apollonias barbujana,Barbusano,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,FUERTEVENTURA"
Araucaria heterophylla,"Araucaria, araucaria excelsa",False,False,False,GRAN CANARIA
Arbutus canariensis,Madroño canario,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA"
Arbutus unedo,Madroño mediterráneo,False,True,True,"GRAN CANARIA,TENERIFE"
Castanea sativa,Castaño,False,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA"
Casuarina cunninghamiana,"Casuarina, pino australiano",False,False,False,TENERIFE
Casuarina equisetifolia,"Pino marítimo, casuarina blanca",False,False,False,"GRAN CANARIA,TENERIFE,FUERTEVENTURA"
Cedrus atlantica,Cedro del Atlas,False,False,False,"GRAN CANARIA,TENERIFE"
Celtis australis,Almez,False,False,False,"GRAN CANARIA,GOMERA"
Ceratonia siliqua,Algarrobo,False,True,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LANZAROTE,FUERTEVENTURA"
Citrus aurantium,Naranjo amargo,False,False,False,"TENERIFE,LA PALMA"
Cupressus macrocarpa,Ciprés de Monterrey,False,False,False,"GRAN CANARIA,TENERIFE,LA PALMA"
Cupressus sempervirens,Ciprés común,False,False,False,"HIERRO,TENERIFE,GOMERA"
Dracaena draco,Drago,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA"
Dracaena tamaranae,Drago de Gran Canaria,True,False,False,GRAN CANARIA
Erica arborea,Brezo,True,False,False,"LANZAROTE,FUERTEVENTURA"
Erica platycodon,Tejo canario,True,False,False,"HIERRO,TENERIFE,GOMERA"
Eriobotrya japonica,Nisperero,False,True,True,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA,LANZAROTE"
Eucalyptus,Eucalipto,False,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE,FUERTEVENTURA"
Euphorbia mellifera,Tabaiba de monte,True,False,False,"TENERIFE,GOMERA,LA PALMA"
Ficus carica,Higuera,False,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE,FUERTEVENTURA"
Ficus microcarpa,Laurel de Indias,False,False,False,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA"
Gleditsia triacanthos,Acacia de tres espinas,False,True,True,GRAN CANARIA
Grevillea robusta,Pino de oro,False,True,False,"GRAN CANARIA,LA PALMA"
Heberdenia excelsa,Aderno,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE,FUERTEVENTURA"
Ilex canariensis,Acebiño,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA"
Ilex perado,Naranjero salvaje,True,False,False,"TENERIFE,GOMERA,LA PALMA"
Jacaranda mimosifolia,Jacaranda,False,False,False,TENERIFE
Juglans regia,Nogal,False,False,False,GRAN CANARIA
Juniperus cedrus,Cedro canario,True,False,False,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA"
Juniperus turbinata,Sabina canaria,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA"
Laurus novocanariensis,"Loro, laurel canario ",True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE,FUERTEVENTURA"
Leucaena leucocephala,Aromo blanco,False,True,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE,FUERTEVENTURA"
Ligustrum lucidum,Aligustre del Japón,False,False,True,"GRAN CANARIA,TENERIFE"
Maclura pomifera,Maclura,False,False,False,GRAN CANARIA
Magnolia grandiflora,Magnolia,False,False,False,GRAN CANARIA
Maytenus canariensis,Peralillo,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE,FUERTEVENTURA"
Melia azedarach,Cinamomo,False,False,False,"GRAN CANARIA,HIERRO,TENERIFE,LANZAROTE,FUERTEVENTURA"
Morella faya,Faya,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE,FUERTEVENTURA"
Morella rivas-martinezii,Faya herreña,True,False,False,"HIERRO,GOMERA,LA PALMA"
Morus alba,"Morera, morera blanca",False,False,False,GRAN CANARIA
Morus nigra,"Moral, morera negra",False,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE,FUERTEVENTURA"
Ocotea foetens,"Til, tilo",True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA"
Olea cerasiformis,"Acebuche, olivo",True,False,False,"GRAN CANARIA,HIERRO,LANZAROTE,FUERTEVENTURA"
Olea europaea,"Olivo, acebuche",False,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA"
Parkinsonia aculeata,"Palo verde, parkinsonia",False,False,True,"TENERIFE,FUERTEVENTURA"
Persea indica,Viñátigo,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA"
Phillyrea angustifolia,Olivillo,True,False,False,"GRAN CANARIA,LANZAROTE,FUERTEVENTURA"
Phoenix canariensis,Palmera canaria,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE,FUERTEVENTURA"
Phoenix dactylifera,Datilera,False,False,False,"GRAN CANARIA,TENERIFE,LA PALMA,LANZAROTE,FUERTEVENTURA"
Picconia excelsa,Palo blanco,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,FUERTEVENTURA"
Pinus canariensis,Pino canario,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA"
Pinus halepensis,Pino carrasco,False,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LANZAROTE,FUERTEVENTURA"
Pinus pinaster,Pino resinero,False,False,False,"GRAN CANARIA,TENERIFE"
Pinus radiata,Pino insigne,False,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE"
Pistacia atlantica,Almácigo,True,False,False,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA,FUERTEVENTURA"
Pistacia lentiscus,Lentisco,True,False,False,"GRAN CANARIA,TENERIFE,GOMERA,LANZAROTE,FUERTEVENTURA"
Pittosporum undulatum,"Azarero, incienso",False,False,False,"GRAN CANARIA,TENERIFE"
Platanus hispanica,Plátano de sombra,False,True,False,GRAN CANARIA
Pleiomeris canariensis,Delfino,True,False,False,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA"
Populus alba,"Álamo blanco, álamo",False,False,False,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA,FUERTEVENTURA"
Populus nigra,"Chopo, álamo negro",False,False,False,GRAN CANARIA
Prunus domestica,"Ciruelo silvestre, ciruelero",False,False,False,"GRAN CANARIA,TENERIFE"
Prunus dulcis,Almendro,False,True,False,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA,FUERTEVENTURA"
Prunus lusitanica,"Hija, jija",True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA"
Quercus ilex,Encina,False,False,False,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA"
Quercus robur,"Roble común, roble albar",False,False,False,"GRAN CANARIA,TENERIFE"
Quercus suber,Alcornoque,False,False,False,"GRAN CANARIA,TENERIFE"
Rhamnus glandulosa,Sanguino,True,False,False,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA"
Robinia pseudoacacia,Falsa acacia,False,False,True,GRAN CANARIA
Salix canariensis,"Sao, sauce canario",True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA"
Salix fragilis,"Mimbrera, sauce",False,True,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA"
Sambucus palmensis,Saúco canario,True,False,False,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA"
Schinus molle,Falso pimentero,False,False,True,"GRAN CANARIA,TENERIFE,GOMERA,LANZAROTE,FUERTEVENTURA"
Sideroxylon canariensis,Marmulano,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,FUERTEVENTURA"
Tamarix,Tarajal,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE,FUERTEVENTURA"
Tetraclinis articulata,"Araar, sabina de Cartagena",False,True,True,GRAN CANARIA
Ulmus minor,Olmo,False,False,False,"GRAN CANARIA,TENERIFE"
Viburnum rigidum,Follao,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA"
Visnea mocanera,Mocán,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE,FUERTEVENTURA"
